feature,importance,pct_importance
max km Z5-T1-T2 one day_max_28d,0,0.0
max km Z5-T1-T2 one day_min_28d,0,0.0
total hours alternative training_mean_28d,0,0.0
nr. strength trainings_mean_28d,0,0.0
total hours alternative training_std_28d,0,0.0
total hours alternative training_min_28d,0,0.0
max km Z3-4 one day_min_28d,0,0.0
max km Z3-4 one day_max_28d,0,0.0
min exertion_mean_28d,0,0.0
total kms_min_7d,0,0.0
total km Z3-Z4-Z5-T1-T2_min_28d,0,0.0
nr. tough sessions effort in Z5 T1 or T2_mean_28d,0,0.0
nr. tough sessions effort in Z5 T1 or T2_std_28d,0,0.0
max km one day_mean_7d,0,0.0
nr. tough sessions effort in Z5 T1 or T2_min_28d,0,0.0
nr. days with interval session_mean_28d,0,0.0
nr. days with interval session_std_28d,0,0.0
nr. days with interval session_min_28d,0,0.0
rel total kms week 1_2_mean_14d,0,0.0
total km Z3-4_mean_28d,0,0.0
avg exertion_max_28d,0,0.0
total km Z3-4_std_28d,0,0.0
total km Z3-4_max_28d,0,0.0
total km Z3-4_min_28d,0,0.0
max km Z3-4 one day_mean_28d,0,0.0
max km Z3-4 one day_std_28d,0,0.0
rel total kms week 1_2_std_14d,0,0.0
total km Z5-T1-T2_mean_7d,0,0.0
max km one day_max_7d,0,0.0
max km Z5-T1-T2 one day.2_max_14d,0,0.0
nr. tough sessions effort in Z5 T1 or T2.2_mean_14d,0,0.0
nr. tough sessions effort in Z5 T1 or T2.2_std_14d,0,0.0
nr. tough sessions effort in Z5 T1 or T2.2_max_14d,0,0.0
nr. tough sessions effort in Z5 T1 or T2.2_min_14d,0,0.0
nr. days with interval session.2_mean_14d,0,0.0
nr. days with interval session.2_std_14d,0,0.0
nr. days with interval session.2_max_14d,0,0.0
nr. days with interval session.2_min_14d,0,0.0
total km Z3-4.2_mean_14d,0,0.0
total km Z3-4.2_std_14d,0,0.0
total km Z3-4.2_max_14d,0,0.0
total km Z3-4.2_min_14d,0,0.0
max km Z3-4 one day.2_mean_14d,0,0.0
max km Z3-4 one day.2_std_14d,0,0.0
max km Z3-4 one day.2_max_14d,0,0.0
max km Z3-4 one day.2_min_14d,0,0.0
total km Z5-T1-T2.2_mean_14d,0,0.0
total km Z5-T1-T2.2_std_14d,0,0.0
total km Z5-T1-T2.2_max_14d,0,0.0
total km Z5-T1-T2.2_min_14d,0,0.0
max km Z5-T1-T2 one day.2_mean_14d,0,0.0
total km Z3-Z4-Z5-T1-T2.2_min_14d,0,0.0
total km Z3-Z4-Z5-T1-T2.2_max_14d,0,0.0
total km Z3-Z4-Z5-T1-T2.2_std_14d,0,0.0
nr. rest days.2_std_14d,0,0.0
max recovery.1_mean_14d,0,0.0
max recovery.1_std_14d,0,0.0
max recovery.1_max_14d,0,0.0
max recovery.1_min_14d,0,0.0
nr. sessions.2_mean_14d,0,0.0
nr. sessions.2_std_14d,0,0.0
nr. sessions.2_max_14d,0,0.0
nr. sessions.2_min_14d,0,0.0
nr. rest days.2_mean_14d,0,0.0
nr. rest days.2_max_14d,0,0.0
total km Z3-Z4-Z5-T1-T2.2_mean_14d,0,0.0
total km Z3-Z4-Z5-T1-T2_mean_7d,0,0.0
total kms.2_mean_14d,0,0.0
max km one day_min_7d,0,0.0
total kms.2_max_14d,0,0.0
total kms.2_min_14d,0,0.0
max km one day.2_mean_14d,0,0.0
